"id","name","status","city_id","zipcode","address","neighborhood","term","term_ended_at","term_status","execution_percentual","execution_end_at","type_of_education","type_of_project","type_of_work","work_classification","fnde_value","funded_by","document","entity_name","bidding_modality","bidding_number","bidding_homologated_at","contract_signed_at","contract_end_at","contract_value","inspected_at","inspection_status","observation","paid_value","paided_at","created_at","updated_at","latitude","longitude","deleted_at","clean_name","execution_start_at","schedule_image","visible","official_lat","official_long","geocoder_city","geocoder_address"
1471,"710309 - Escola de Educação Inf - Bom Jesus dos Perdões/SP",1,96,12955000,"Rua João Franco de Camargo","Centro","710309/2008","",2,52,"2018-11-25",1,18,3,1,"0",1,"52359692000162","PREF MUN DE BOM JESUS DOS PERDOES",1,"12","2016-04-28","2016-05-09","2018-11-08","1969373.91","2018-07-18",1,"","","","2017-03-05 17:59:52.096379","2018-07-27 20:56:36.498265","-23.1353086","-46.4640747","","","2016-05-09","",True,"-23.1353086","-46.4640747","Bom Jesus dos PerdõEs","Rua João Franco de Camargo"
1497,"710025 - Escola de Educação Infantil - Liberdade/MG",6,119,37350000,"Avenida Ministro Barbosa Lima","Centro","710025/2008","",2,0,"",1,19,3,1,"1150623.58",1,"18029165000151","PREF MUN DE LIBERDADE","","","2016-10-18","","","0","","","","","2018-05-31","2017-03-05 17:59:52.585222","2018-07-27 20:56:36.971712","-22.0293496","-44.3173012","","","","","","-22.0293496","-44.3173012","Liberdade","Avenida Doutor Pitágoras Barbosa Lima"
1005848,"Terreno Bairro Niterói - São Domingos do Norte - ES",4,4554,29745000,"Rodovia Gether Lopes","Emilio Calegari                                                                                     ","17169/2014","2018-11-15",2,63,"2019-06-01",1,14,3,1,"3456580.07",1,"36350312000172","PREFEITURA MUNICIPAL DE SAO DOMINGOS DO NORTE",1,"32014","2014-05-09","2014-05-12","2016-11-30","3972256.05","2018-05-28",4,"Contrato Rescindido","2073948.04","2018-05-31","2017-03-05 18:06:52.890566","2018-07-27 21:09:52.318527","-19.1536512","-40.6258857","","Terreno Bairro Niterói","2014-05-12","","","-19.1536512","-40.6258857","São Domingos do Norte","ES-080"
1583,"710262 -Escola de Educação Infantil - Ouro Preto do Oeste/RO",1,192,78950000,"Rua Ana Nery","Setor 03","710262/2008","",2,20,"2018-10-11",1,18,3,1,"950000",1,"4380507000179","PREF MUN DE OURO PRETO DO OESTE",7,"4","2017-10-10","2017-11-27","2018-11-07","1844162.29","2018-06-19",1,"","","2018-05-31","2017-03-05 17:59:54.199375","2018-07-27 20:56:38.945715","-10.713746","-62.2545373","","","2017-11-27","","","-10.713746","-62.2545373","Ouro Preto do Oeste","Rua Ana Neri"
1006033,"Centro de Educação Infantil",4,861,48110000,"Rua Caminho das Árvores","Pau Lavrado                                                                                         ","7171/2013","2018-10-30",2,30,"2018-06-26",1,19,3,1,"1294044.26",1,"13800685000100","PREF MUN DE CATU",7,"1","2016-07-01","2016-06-29","2018-02-27","1292978.53","2018-07-16",4,"Descumprimento de Contrato","323568.23","2018-05-31","2017-03-05 18:06:55.47594","2018-07-27 21:09:58.045244","-12.3097748","-38.3735205","","Centro de Educação Infantil","2016-06-29","",False,"-12.3097748","-38.3735205","Catu","BR-110"
1006094,"Vila São Pedro",4,4571,83540000,"Rua Manoel Muller de Siqueira","Vila São Pedro                                                                                      ","7010/2013","2018-10-07",2,34,"2018-12-31",1,19,3,1,"1267584.71",1,"76105576000185","PREF MUN DE RIO BRANCO DO SUL",1,"22015","2015-12-18","2015-12-22","2018-01-02","1105164.05","2018-06-08",4,"Contrato Rescindido","545011.14","2018-05-31","2017-03-05 18:06:56.602554","2018-07-27 21:10:00.85685","-25.1715053","-49.3174256","","Vila São Pedro","2015-12-22","","","-25.1715053","-49.3174256","Rio Branco do Sul","Rua Manoel Müller Siqueira"
1006200,"Escola de Educação Infantil - Tipo B / BOM JARDIM",1,1078,69630000,"RUA C","Bom Jardim                                                                                          ","7112/2013","2018-10-01",2,56,"2018-10-22",1,19,3,1,"1293752.62",1,"4243978000135","PREF MUN DE BENJAMIN CONSTANT",7,"42015","2015-09-11","2015-09-14","2018-07-03","1292840.98","2018-02-22",1,"","608110.66","2018-05-31","2017-03-05 18:06:58.725337","2018-07-27 21:10:05.351608","-4.3775452","-70.0139056","","Escola de Educação Infantil   Tipo B / Bom Jardim","2015-09-14","","","-4.3775452","-70.0139056","Benjamin Constant","Estrada Treze de Maio"
1006206,"Creche Municipal Comunidade Bela Vista",1,1076,69200000,"RUA BORBA - MAPIÁ","BELA VISTA                                                                                          ","7113/2013","2018-08-29",2,28,"2018-07-02",1,19,3,1,"1293752.62",1,"4477568000159","MUNICIPIO DE BORBA",7,"9","2015-08-25","2015-08-25","2019-06-30","1293752.62","2018-07-02",1,"","297563.1","2018-05-31","2017-03-05 18:06:58.851071","2018-07-27 21:10:05.666505","-4.4703213","-59.5887943","","Creche Municipal Comunidade Bela Vista","2015-08-25","","","-4.4703213","-59.5887943","Borba",""
1006227,"PAC 2 - CRECHE/PRÉ-ESCOLA  001",4,2372,6911800,"RUA 04","BAIRRO LIBERDADE                                                                                    ","7127/2013","2018-08-30",2,13,"2019-07-17",1,18,3,1,"1961808.27",1,"4502571000185","PREFEITURA MUNICIPAL DE URUCURITUBA",1,"32015","2016-05-12","2016-03-04","2017-12-28","1959908.23","2018-07-18",4,"Descumprimento de Contrato","333507.41","2018-05-31","2017-03-05 18:06:59.243395","2018-07-27 21:10:06.562784","-3.1297269","-58.1538868","","PAC 2   Creche/Pré-escola  001","2016-03-04","","","-3.1297269","-58.1538868","Urucurituba","Avenida Augusto Montevidéu"
1006301,"Escola Bairro União - Bom Jesus do Tocantins - PA",1,1100,68525000,"Travessa Ildefonço Araújo","Bairro união                                                                                        ","17516/2014","2018-11-10",2,84,"2018-07-02",1,11,3,1,"981562.61",1,"22938757000163","PREF MUN DE BOM JESUS DO TOCANTINS",7,"22017003","2018-01-05","2018-01-09","2018-09-06","594076.27","2018-07-02",1,"","804881.34","2018-05-31","2017-03-05 18:07:01.11816","2018-07-27 21:10:10.512604","-5.0237311","-48.7995122","","Escola Bairro União","2018-01-09","","","-5.0237311","-48.7995122","Bom Jesus do Tocantins",""
